ponto,cidade,cnpj,tipo,raio
DEVITO ALIMENTOS LTDA,Boraceia - SP,,CLIENTE,0
DENER FRANGOS DIST DE ALIMENTOS LTDA  - DENER,Itapui - SP,,CLIENTE,0
PRODUTORA DE CHARQUE CAMPEAO,Santana de Parnaiba - SP,,CLIENTE,0
FV DISTRIBUIDORA DE CARNES E PESCADOS,Cariacica - ES,,CLIENTE,0
BMG FOODS SAO JOSE - SC,Sao Jose - SC,,FILIAL,0
ALTO AMPARO,Ponta Grossa - PR,,AREA DE REFERENCIA,0
REAL CARNES INDUSTRIA E COMERCIO DE CARNES LTDA,Rio de Janeiro Capital - RJ,,CLIENTE,0
BMG FOODS NOVA IGUACU-RJ,Nova Iguacu - RJ,,FILIAL,0
BMG FOODS BRASILIA -DF,Brasilia - DF,,FILIAL,0
BMG FOODS JI PARANA,Ji-Parana - RO,,FILIAL,0
BMG FOODS ROLIM DE MOURA - RO,Rolim de Moura - RO,,FILIAL,0
NOSTRO BEEF ALIMENTOS CAMPO GRANDE- MS,Campo Grande Capital - MS,,FILIAL,0
BIGCHARQUE CACOAL - RO,Cacoal - RO,,CLIENTE,0
BMG FOODS BALSA NOVA - PR,Balsa Nova - PR,,FILIAL,0
PIRACICABA CARNES E DERIVADOS LTDA,Piracicaba - SP,,CLIENTE,0
INTERCARNE COMERCIO DE CARNES,Americana - SP,,CLIENTE,0
COMERCIO DE CARNES FUTURA GERACAO,Sorocaba - SP,,CLIENTE,0
ISM GOMES DE MATTOS EIRELI,Fortaleza Capital - CE,,CLIENTE,0
CEREALISTA QUEIROZ LTDA,Mossoro - RN,,CLIENTE,0
MAR VERMELHO,Parnamirim - RN,,CLIENTE,0
SUPER MERCADO REAL DE EDEN LTDA,Rio de Janeiro Capital - RJ,,CLIENTE,0
BETAMPEX-BRA NOVA ESPERANCA - PR,Nova Esperanca - PR,,FILIAL,0
BETAMPEX-BRA CURITIBA - PR,Curitiba - PR,,FILIAL,0
INDUSTRIA E COMERCIO DE CARNES E CHARQUES GMA DE ITAPERUNA - JA-GMA,Itaperuna - RJ,,CLIENTE,0
FRIGORIFICO VILA BELA LTDA,Vila Bela da Santissima Trindade - MT,,FILIAL,0
NOSTRO BEEF ALIMENTOS CASCAVEL - PR,Cascavel - PR,,FILIAL,0
