placa_reboque,chassi,renavam,sub_categoria,marca,consulta,validade,status,referencia
0000000,9A9FR3883RCDB5609,01373757466,BAU FRÍGORIFICO,SR/NIJU NJSRFR 3E,171234520205/04/2024,174382200005/04/2025,VIGENTE,BMGTRA_66104BC7802C3_
0000000,9ADF1473HHC002698,01122414487,BAU FRÍGORIFICO,,,,,
AKL1B69,9ADF145323M180031,00789210100,BAU FRÍGORIFICO,SR/RANDON SR FG,171269098709/04/2024,174416760009/04/2025,VIGENTE,BMGTRA_66159393C8A4D_AKL1B69
ASP1A45,9ADF1473AAM308878,00209351810,BAU FRÍGORIFICO,SR/RANDON SR FG,171234054305/04/2024,174382200005/04/2025,VIGENTE,BMGTRA_661037475CBA7_
ATH3D38,9ADF1473ABM321769,00266837115,BAU FRÍGORIFICO,SR/RANDON SR FG,171234430505/04/2024,174382200005/04/2025,VIGENTE,BMGTRA_661047D0CAF0E_
ATH4A55,9A9FR3893DCDW8357,00565809938,BAU FRÍGORIFICO,SR/RANDON SR FG,171528581709/05/2024,174675960009/05/2025,VIGENTE,BMGTRA_663D14D3E887C_
ATH4A88,9A9FR3893DCDW8358,00565733516,BAU FRÍGORIFICO,,171232035205/04/2024,174382200005/04/2025,VIGENTE,BMGTRA_660FE2FE91371_
ATH7A05,9A9FR3893DCDW8964,00525418075,BAU FRÍGORIFICO,SR/RANDON SR FG,171390231723/04/2024,174537720023/04/2025,VIGENTE,BMGTRA_66280F211EC7E_
ATH7A06,9A9FR3893DCDW8976,00527571776,BAU FRÍGORIFICO,SR/RANDON SR FG,171260296308/04/2024,174408120008/04/2025,VIGENTE,BMGTRA_66103AFA390EC_
ATL3C03,9ADF1473ABM321877,00271816724,BAU FRÍGORIFICO,SR/RANDON SR FG,172478551227/08/2024,175626360027/08/2025,VIGENTE,BMGTRA_66CCDD538CC9A_
ATL3C04,9ADF1473ABM322780,00271817496,BAU FRÍGORIFICO,SR/RANDON SR FG,173800182927/01/2025,175358519926/07/2025,VIGENTE,9657
ATL3C05,9ADF1473ABM322778,00271817070,BAU FRÍGORIFICO,SR/RANDON SR FG,171390233623/04/2024,174537720023/04/2025,VIGENTE,BMGTRA_66280F34E6411_
ATL3C06,9ADF1473ABM322779,0271817330,BAU FRÍGORIFICO,SR/RANDON SR FG,172746813327/09/2024,174295800026/03/2025,VIGENTE,5432
ATL3I08,9A9CFF393B1DV8143,00308466349,BAU FRÍGORIFICO,SR/IBIPORA SR3E FRIG,171768204806/06/2024,174917880006/06/2025,VIGENTE,BMGTRA_6661BCFEEE55E_ATL3I08
ATL4A07,9ADF1473BBM334727,00330817779,BAU FRÍGORIFICO,SR/RANDON SR FG,171260171108/04/2024,174408120008/04/2025,VIGENTE,BMGTRA_6614374DAFA8C_ATL4A07
ATL4A08,9A9CFF393B1DV8144,00311408370,BAU FRÍGORIFICO,SR/IBIPORA SR3E FRIG,173808013528/01/2025,175367159927/07/2025,VIGENTE,9687
ATL4A09,9ADF1473BBM336769,00334880840,BAU FRÍGORIFICO,SR/RANDON SR FG,171260068008/04/2024,174408120008/04/2025,VIGENTE,BMGTRA_661432A740724_ATL4A09
